DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,schoolyear,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,ATS SYSTEM CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,Location 1
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,18,23,s,20112012,174,125,57,66,36.0,8.5,61.0,14.5,10,2.4,204,48.3,201,47.6,7,1.7,172.0,40.8,250.0,59.2,11X253,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
11X265,BRONX LAB SCHOOL,81,377,391,367,s,s,s,20112012,156,117,114,95,18.0,3.7,76.0,15.8,13,2.7,182,37.8,276,57.3,8,1.7,287.0,59.5,195.0,40.5,11X265,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,26,31,s,20112012,100,89,96,82,38.0,6.3,112.0,18.5,15,2.5,386,63.7,194,32.0,4,0.7,315.0,52.0,291.0,48.0,11X270,921 EAST 228TH STREET,1024974.0,262923.0,212,12,40400,2048640035,BX44,Williamsbridge-Olinville                                                   ,"921 EAST 228TH STREET
BRONX, NY 10466
(40.888242, -73.852714)"
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,57,86,s,20112012,189,155,102,104,56.0,10.2,111.0,20.2,20,3.6,192,34.9,327,59.5,7,1.3,480.0,87.3,70.0,12.7,11X275,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,95,134,35,20112012,165,140,136,102,18.0,3.3,76.0,14.0,50,9.2,200,36.8,254,46.8,38,7.0,310.0,57.1,233.0,42.9,11X288,925 ASTOR AVENUE,1022774.0,252791.0,211,13,32400,2043580001,BX07,Bronxdale                                                                  ,"925 ASTOR AVENUE
BRONX, NY 10469
(40.860443, -73.860729)"
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,25,25,s,20112012,155,143,108,77,37.0,7.7,92.0,19.0,16,3.3,254,52.6,199,41.2,5,1.0,158.0,32.7,325.0,67.3,11X290,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,s,s,s,20112012,180,132,107,79,38.0,7.6,108.0,21.7,27,5.4,178,35.7,229,46.0,59,11.8,292.0,58.6,206.0,41.4,11X299,925 ASTOR AVENUE,1022774.0,252791.0,211,13,32400,2043580001,BX07,Bronxdale                                                                  ,"925 ASTOR AVENUE
BRONX, NY 10469
(40.860443, -73.860729)"
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,38,48,7,20112012,158,178,64,83,25.0,5.2,101.0,20.9,9,1.9,141,29.2,301,62.3,31,6.4,280.0,58.0,203.0,42.0,11X418,2040 ANTIN PL,1021753.0,249559.0,211,13,22800,2042900048,BX49,Pelham Parkway                                                             ,"2040 ANTIN PL
BRONX, NY 10462
(40.851577, -73.864438)"
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,97,136,23,20112012,727,457,323,266,164.0,9.2,445.0,25.1,35,2.0,918,51.8,777,43.8,23,1.3,1063.0,60.0,710.0,40.0,11X455,750 BAYCHESTER AVENUE,1030803.0,257757.0,210,12,46201,2051410150,BX13,Co-op City                                                                 ,"750 BAYCHESTER AVENUE
BRONX, NY 10475
(40.874035, -73.831669)"
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,22,22,18,20112012,119,111,93,79,322.0,80.1,6.0,1.5,50,12.4,53,13.2,283,70.4,13,3.2,201.0,50.0,201.0,50.0,11X513,921 EAST 228TH STREET,1024974.0,262923.0,212,12,40400,2048640035,BX44,Williamsbridge-Olinville                                                   ,"921 EAST 228TH STREET
BRONX, NY 10466
(40.888242, -73.852714)"
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,28,28,s,20112012,168,94,89,65,29.0,7.0,87.0,20.9,8,1.9,242,58.2,155,37.3,4,1.0,255.0,61.3,161.0,38.7,11X514,921 EAST 228TH STREET,1024974.0,262923.0,212,12,40400,2048640035,BX44,Williamsbridge-Olinville                                                   ,"921 EAST 228TH STREET
BRONX, NY 10466
(40.888242, -73.852714)"
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,43,48,13,20112012,150,157,114,86,11.0,2.2,72.0,14.2,12,2.4,204,40.2,252,49.7,35,6.9,244.0,48.1,263.0,51.9,11X542,925 ASTOR AVENUE,1022774.0,252791.0,211,13,32400,2043580001,BX07,Bronxdale                                                                  ,"925 ASTOR AVENUE
BRONX, NY 10469
(40.860443, -73.860729)"
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,s,s,s,20112012,152,220,30,77,49.0,10.2,102.0,21.3,5,1.0,178,37.2,287,59.9,5,1.0,265.0,55.3,214.0,44.7,11X544,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,10,14,s,20112012,149,129,63,75,61.0,14.7,107.0,25.7,9,2.2,99,23.8,302,72.6,5,1.2,343.0,82.5,73.0,17.5,11X545,800 EAST GUN HILL ROAD,1022511.0,258157.0,212,12,37200,2046330040,BX44,Williamsbridge-Olinville                                                   ,"800 EAST GUN HILL ROAD
BRONX, NY 10467
(40.875172, -73.861649)"
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,20,20,18,20112012,105,88,87,59,74.0,21.8,71.0,20.9,6,1.8,82,24.2,247,72.9,3,0.9,183.0,54.0,156.0,46.0,12X248,1180 REV. J.A. POLITE AVE.,1012776.0,240789.0,202,17,13100,2026920014,BX33,Longwood                                                                   ,"1180 REV. J.A. POLITE AVE.
BRONX, NY 10459
(40.827539, -73.896925)"
12X251,EXPLORATIONS ACADEMY,57,381,381,360,60,85,24,20112012,101,116,75,70,72.0,19.9,77.0,21.3,6,1.7,113,31.2,237,65.5,5,1.4,184.0,50.8,178.0,49.2,12X251,1619 BOSTON ROAD,1014525.0,243963.0,203,17,15500,2029390093,BX75,Crotona Park East                                                          ,"1619 BOSTON ROAD
BRONX, NY 10460
(40.836245, -73.890591)"
12X267,BRONX LATIN,36,408,432,411,43,43,s,20112012,95,67,38,40,57.0,13.6,90.0,21.5,1,0.2,107,25.6,306,73.2,4,1.0,208.0,49.8,210.0,50.2,12X267,800 HOME STREET,1011761.0,240567.0,203,16,13100,2026710011,BX33,Longwood                                                                   ,"800 HOME STREET
BRONX, NY 10456
(40.826933, -73.900593)"
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,69,130,s,20112012,91,117,82,77,72.0,11.6,149.0,24.1,12,1.9,182,29.4,423,68.3,1,0.2,328.0,53.0,291.0,47.0,12X271,1716 SOUTHERN BOULEVARD,1015328.0,244174.0,203,17,16100,2029830015,BX75,Crotona Park East                                                          ,"1716 SOUTHERN BOULEVARD
BRONX, NY 10460
(40.836821, -73.887688)"
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,18,18,9,20112012,97,183,113,13,377.0,92.9,1.0,0.2,0,0.0,0,0.0,405,99.8,0,0.0,209.0,51.5,197.0,48.5,12X388,1300 BOYNTON AVENUE,1017958.0,242606.0,209,18,5600,2038640001,BX08,West Farms-Bronx River                                                     ,"1300 BOYNTON AVENUE
BRONX, NY 10472
(40.832508, -73.878191)"
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,s,s,s,20112012,106,52,51,19,11.0,4.8,21.0,9.2,1,0.4,94,41.2,130,57.0,0,0.0,76.0,33.3,152.0,66.7,12X446,1010 REV. J. A. POLITE AVENUE,1012407.0,239180.0,202,17,12901,2026980012,BX33,Longwood                                                                   ,"1010 REV. J. A. POLITE AVENUE
BRONX, NY 10459
(40.823124, -73.898265)"
12X478,THE CINEMA SCHOOL,s,s,s,s,85,196,15,20112012,91,61,71,    ,9.0,4.0,9.0,4.0,10,4.5,64,28.7,145,65.0,4,1.8,91.0,40.8,132.0,59.2,12X478,1551 EAST 172ND STREET,1017958.0,242606.0,209,18,5600,2038640001,BX08,West Farms-Bronx River                                                     ,"1551 EAST 172ND STREET
BRONX, NY 10472
(40.832508, -73.878191)"
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s,s,s,s,20112012,118,78,48,    ,41.0,16.8,67.0,27.5,6,2.5,91,37.3,146,59.8,1,0.4,108.0,44.3,136.0,55.7,12X479,800 HOME STREET,1011761.0,240567.0,203,16,13100,2026710011,BX33,Longwood                                                                   ,"800 HOME STREET
BRONX, NY 10456
(40.826933, -73.900593)"
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,s,s,s,20112012,    ,73,145,120,34.0,10.1,27.0,8.0,5,1.5,137,40.5,193,57.1,2,0.6,127.0,37.6,211.0,62.4,12X480,1010 REV. J. A. POLITE AVENUE,1012407.0,239180.0,202,17,12901,2026980012,BX33,Longwood                                                                   ,"1010 REV. J. A. POLITE AVENUE
BRONX, NY 10459
(40.823124, -73.898265)"
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,19,22,8,20112012,59,121,149,40,319.0,86.4,2.0,0.5,9,2.4,40,10.8,312,84.6,2,0.5,192.0,52.0,177.0,48.0,12X550,1300 BOYNTON AVENUE,1017958.0,242606.0,209,18,5600,2038640001,BX08,West Farms-Bronx River                                                     ,"1300 BOYNTON AVENUE
BRONX, NY 10472
(40.832508, -73.878191)"
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341,35,35,9,20112012,140,113,119,105,55.0,11.5,125.0,26.2,1,0.2,146,30.6,328,68.8,1,0.2,258.0,54.1,219.0,45.9,12X682,1021 JENNINGS STREET,1015852.0,242131.0,203,17,15700,2030130001,BX75,Crotona Park East                                                          ,"1021 JENNINGS STREET
BRONX, NY 10460
(40.831212, -73.885804)"
12X684,WINGS ACADEMY,66,378,374,362,27,36,8,20112012,176,136,108,118,24.0,4.5,120.0,22.3,7,1.3,296,55.0,227,42.2,7,1.3,289.0,53.7,249.0,46.3,12X684,1122 EAST 180 STREET,1018764.0,245838.0,206,15,22000,2040060003,BX17,East Tremont                                                               ,"1122 EAST 180 STREET
BRONX, NY 10460
(40.841376, -73.875262)"
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,13,19,s,20112012,60,81,85,39,19.0,4.3,90.0,20.3,2,0.5,319,72.0,109,24.6,8,1.8,164.0,37.0,279.0,63.0,13K265,101 PARK AVENUE,990876.0,193278.0,302,35,21100,3020280001,BK68,Fort Greene                                                                ,"101 PARK AVENUE
BROOKLYN, NY 11205
(40.697177, -73.976104)"
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,s,s,s,20112012,139,101,100,91,20.0,4.6,97.0,22.5,8,1.9,316,73.3,98,22.7,4,0.9,184.0,42.7,247.0,57.3,13K350,49 FLATBUSH AVENUE EXTENSION,988540.0,193333.0,302,33,1500,3001200020,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"49 FLATBUSH AVENUE EXTENSION
BROOKLYN, NY 11201
(40.69733, -73.984528)"
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384,15,15,s,20112012,135,124,118,85,11.0,2.4,83.0,18.0,3,0.6,366,79.2,79,17.1,6,1.3,210.0,45.5,252.0,54.5,13K412,300 WILLOUGHBY AVENUE,995847.0,191399.0,303,33,23500,3019260010,BK69,Clinton Hill                                                               ,"300 WILLOUGHBY AVENUE
BROOKLYN, NY 11205
(40.692015, -73.95818)"
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395,81,96,7,20112012,130,147,109,131,36.0,7.0,71.0,13.7,37,7.2,402,77.8,63,12.2,11,2.1,290.0,56.1,227.0,43.9,13K419,49 FLATBUSH AVENUE EXTENSION,988540.0,193333.0,302,33,1500,3001200020,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"49 FLATBUSH AVENUE EXTENSION
BROOKLYN, NY 11201
(40.69733, -73.984528)"
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,2516,4427,3333,20112012,1413,1399,1319,1201,4.0,0.1,29.0,0.5,3214,60.3,542,10.2,420,7.9,1135,21.3,3106.0,58.3,2226.0,41.7,13K430,29 FT GREENE PLACE,990785.0,190261.0,302,35,3300,3020980013,BK68,Fort Greene                                                                ,"29 FT GREENE PLACE
BROOKLYN, NY 11217
(40.688896, -73.976435)"
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,s,s,s,20112012,93,97,87,90,305.0,83.1,0.0,0.0,156,42.5,74,20.2,105,28.6,32,8.7,177.0,48.2,190.0,51.8,13K439,49 FLATBUSH AVENUE EXTENSION,988540.0,193333.0,302,33,1500,3001200020,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"49 FLATBUSH AVENUE EXTENSION
BROOKLYN, NY 11201
(40.69733, -73.984528)"
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,34,53,36,20112012,122,127,99,102,4.0,0.9,60.0,13.3,4,0.9,356,79.1,77,17.1,5,1.1,178.0,39.6,272.0,60.4,13K483,283 ADAMS STREET,987488.0,192349.0,302,33,1100,3001400010,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"283 ADAMS STREET
BROOKLYN, NY 11201
(40.694629, -73.988323)"
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368,37,47,s,20112012,252,196,159,124,21.0,2.9,136.0,18.6,9,1.2,619,84.7,89,12.2,6,0.8,408.0,55.8,323.0,44.2,13K499,561 GRAND AVENUE,994891.0,186508.0,308,35,30500,3011410005,BK61,Crown Heights North                                                        ,"561 GRAND AVENUE
BROOKLYN, NY 11238
(40.678591, -73.961636)"
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s,s,s,s,20112012,99,61,63,    ,7.0,1.5,62.0,13.2,24,5.1,372,79.3,55,11.7,12,2.6,0.0,0.0,469.0,100.0,13K527,283 ADAMS STREET,987488.0,192349.0,302,33,1100,3001400010,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"283 ADAMS STREET
BROOKLYN, NY 11201
(40.694629, -73.988323)"
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,s,s,s,20112012,    ,38,65,81,0.0,0.0,18.0,9.8,1,0.5,159,86.4,21,11.4,0,0.0,91.0,49.5,93.0,50.5,13K553,832 MARCY AVENUE,998707.0,188719.0,303,36,24900,3018230038,BK75,Bedford                                                                    ,"832 MARCY AVENUE
BROOKLYN, NY 11216
(40.684654, -73.947873)"
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,s,s,s,20112012,1,55,50,46,1.0,0.7,0.0,0.0,0,0.0,127,83.6,19,12.5,3,2.0,54.0,35.5,98.0,64.5,13K575,832 MARCY AVENUE,998707.0,188719.0,303,36,24900,3018230038,BK75,Bedford                                                                    ,"832 MARCY AVENUE
BROOKLYN, NY 11216
(40.684654, -73.947873)"
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431,124,152,26,20112012,80,96,98,93,4.0,1.1,15.0,4.1,10,2.7,328,89.4,26,7.1,1,0.3,180.0,49.0,187.0,51.0,13K595,1119 BEDFORD AVENUE,997093.0,189021.0,303,36,24300,3018120001,BK75,Bedford                                                                    ,"1119 BEDFORD AVENUE
BROOKLYN, NY 11216
(40.685486, -73.953692)"
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,28,31,9,20112012,206,232,247,242,18.0,1.9,131.0,14.1,26,2.8,740,79.8,142,15.3,12,1.3,700.0,75.5,227.0,24.5,13K605,105 TECH PLACE,988103.0,192646.0,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"105 TECH PLACE
BROOKLYN, NY 11201
(40.695444, -73.986105)"
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s,s,s,s,s,20112012,48,58,38,68,5.0,2.4,16.0,7.5,1,0.5,145,68.4,60,28.3,3,1.4,105.0,49.5,107.0,50.5,13K616,300 WILLOUGHBY AVENUE,995847.0,191399.0,303,33,23500,3019260010,BK69,Clinton Hill                                                               ,"300 WILLOUGHBY AVENUE
BROOKLYN, NY 11205
(40.692015, -73.95818)"
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,146,203,82,20112012,240,217,231,207,0.0,0.0,27.0,3.0,24,2.7,779,87.0,79,8.8,4,0.4,413.0,46.1,482.0,53.9,13K670,71-77 CLINTON AVENUE,992913.0,192627.0,302,35,19100,3018880034,BK69,Clinton Hill                                                               ,"71-77 CLINTON AVENUE
BROOKLYN, NY 11205
(40.695389, -73.968759)"
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413,s,s,s,20112012,117,132,9,77,12.0,3.6,53.0,15.8,25,7.5,195,58.2,88,26.3,15,4.5,266.0,79.4,69.0,20.6,13K674,105 TECH PLACE,988103.0,192646.0,302,33,1300,3001310001,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"105 TECH PLACE
BROOKLYN, NY 11201
(40.695444, -73.986105)"
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359,14,14,12,20112012,110,103,99,131,215.0,24.9,231.0,26.7,2,0.2,132,15.3,697,80.6,29,3.4,473.0,54.7,392.0,45.3,14K071,215 HEYWARD STREET,997197.0,195765.0,301,33,52900,3022270001,BK72,Williamsburg                                                               ,"215 HEYWARD STREET
BROOKLYN, NY 11206
(40.703996, -73.953304)"
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570,s,s,s,20112012,180,124,94,70,2.0,0.4,5.0,1.1,172,36.8,125,26.7,84,17.9,68,14.5,257.0,54.9,211.0,45.1,14K449,223 GRAHAM AVENUE,999647.0,197868.0,301,34,50500,3030250001,BK90,East Williamsburg                                                          ,"223 GRAHAM AVENUE
BROOKLYN, NY 11206
(40.709765, -73.944463)"
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396,s,s,s,20112012,115,102,92,83,45.0,11.5,60.0,15.3,8,2.0,187,47.7,184,46.9,10,2.6,181.0,46.2,211.0,53.8,14K454,223 GRAHAM AVENUE,999647.0,197868.0,301,34,50500,3030250001,BK90,East Williamsburg                                                          ,"223 GRAHAM AVENUE
BROOKLYN, NY 11206
(40.709765, -73.944463)"
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,36,50,s,20112012,448,278,212,130,172.0,16.1,139.0,13.0,8,0.7,348,32.6,698,65.4,11,1.0,518.0,48.5,550.0,51.5,14K474,850 GRAND STREET,1001183.0,198368.0,301,34,48500,3030160001,BK78,Bushwick South                                                             ,"850 GRAND STREET
BROOKLYN, NY 11211
(40.711134, -73.938921)"
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,53,68,10,20112012,159,183,211,206,43.0,5.7,99.0,13.0,7,0.9,438,57.7,298,39.3,13,1.7,348.0,45.8,411.0,54.2,14K477,850 GRAND STREET,1001183.0,198368.0,301,34,48500,3030160001,BK78,Bushwick South                                                             ,"850 GRAND STREET
BROOKLYN, NY 11211
(40.711134, -73.938921)"
